Nb-Days, CLEWE ,CLEWE-Vol, CAC ,CAC-Vol,Spread,time,
1,1861.63,0.063212605,5572.1,0.060010714,0.003201891,1,0.00
3,1874.15,0.063205175,5589.19,0.060046176,0.003158998,4,-0.02
1,1878.74,0.063407848,5593.72,0.060249554,0.003158294,5,-0.02
1,1890.84,0.063348388,5620.73,0.060221378,0.003127011,6,-0.02
1,1888.74,0.063352802,5618.81,0.060242809,0.003109993,7,-0.03
1,1873.35,0.063082738,5576.82,0.060011181,0.003071557,8,-0.03
3,1876.03,0.063179001,5567.91,0.060158161,0.00302084,11,-0.04
1,1864.81,0.063484665,5538.97,0.060644583,0.002840083,12,-0.05
1,1846.29,0.06338443,5493.61,0.060607745,0.002776685,13,-0.05
1,1843.14,0.063418827,5500.72,0.060632807,0.002786021,14,-0.06
1,1842.95,0.0632478,5514.57,0.06045609,0.002791711,15,-0.06
3,1847.13,0.063368767,5521.71,0.060571633,0.002797133,18,-0.07
1,1851.04,0.063549285,5528.33,0.060741948,0.002807337,19,-0.08
1,1857.94,0.06359217,5535.57,0.060831044,0.002761126,20,-0.08
1,1860.61,0.063710296,5518.45,0.060940775,0.002769521,21,-0.08
1,1856.65,0.063590323,5509.73,0.060895001,0.002695322,22,-0.09
3,1816.91,0.063055192,5390.95,0.060284124,0.002771069,25,-0.10
1,1813.08,0.063264202,5367.62,0.060545891,0.002718311,26,-0.10
1,1822.42,0.063226525,5375.63,0.060542679,0.002683846,27,-0.11
1,1819.22,0.063709873,5374.92,0.061148082,0.002561791,28,-0.11
1,1832.48,0.063549199,5408.45,0.061196799,0.0023524,29,-0.12
3,1819.66,0.063607576,5382.5,0.061336326,0.00227125,32,-0.13
1,1809.39,0.063747456,5364.05,0.061510011,0.002237445,33,-0.13
1,1783.9,0.063549588,5278.43,0.061291681,0.002257908,34,-0.13
1,1795.74,0.06355615,5292,0.061421675,0.002134475,35,-0.14
1,1784.93,0.063348094,5268.26,0.061252707,0.002095388,36,-0.14
3,1773,0.063446729,5241.46,0.061513046,0.001933683,39,-0.15
1,1767.9,0.063630254,5207.63,0.061621026,0.002009229,40,-0.16
1,1779.68,0.063563219,5248.91,0.061544424,0.002018795,41,-0.16
1,1770.44,0.063535725,5222.12,0.061532701,0.002003024,42,-0.17
1,1796.03,0.063043055,5312.69,0.060888151,0.002154904,43,-0.17
3,1800.87,0.06305211,5336.19,0.060861564,0.002190547,46,-0.18
1,1790.96,0.063184813,5316.51,0.061012948,0.002171866,47,-0.19
1,1779.74,0.063124965,5281.37,0.060950058,0.002174907,48,-0.19
1,1816.57,0.062476113,5378.98,0.060412162,0.002063951,49,-0.19
1,1821.38,0.062373647,5385.46,0.060485126,0.001888521,50,-0.20
3,1806.62,0.062280195,5358.59,0.060490895,0.0017893,53,-0.21
1,1837.23,0.062013083,5438.23,0.060316699,0.001696384,54,-0.21
1,1844.62,0.062334642,5448.11,0.060582759,0.001751882,55,-0.22
1,1830.45,0.062259004,5374.26,0.06034121,0.001917794,56,-0.22
1,1819.08,0.06202268,5341.35,0.060111301,0.00191138,57,-0.23
3,1793.14,0.061710508,5262.57,0.059768803,0.001941705,60,-0.24
1,1824.74,0.061552783,5327.44,0.059980014,0.001572769,61,-0.24
1,1821.68,0.061560509,5313.16,0.059968604,0.001591905,62,-0.25
1,1858.31,0.060952129,5417.59,0.05937472,0.00157741,63,-0.25
1,1855.58,0.060780783,5395.75,0.059182794,0.001597988,64,-0.25
3,1878.05,0.060680783,5483.52,0.058909437,0.001771347,67,-0.27
1,1904.02,0.060554282,5548.84,0.058854947,0.001699335,68,-0.27
1,1908.26,0.060564756,5538.86,0.058857975,0.001706781,69,-0.27
1,1920.27,0.060508267,5586.41,0.05873645,0.001771817,70,-0.28
1,1920.27,0.060339656,5586.41,0.058571162,0.001768494,71,-0.28
3,1929.04,0.0603108,5580.98,0.058576526,0.001734274,74,-0.29
1,1922.4,0.060462831,5569.36,0.058744256,0.001718576,75,-0.30
1,1913.69,0.060439316,5557.67,0.058741813,0.001697503,76,-0.30
1,1921.38,0.060418773,5576.06,0.058736531,0.001682242,77,-0.31
1,1920.18,0.060260448,5591.69,0.058568693,0.001691756,78,-0.31
3,1925.75,0.060266657,5580.38,0.058603354,0.001663303,81,-0.32
1,1925.75,0.060487589,5580.38,0.058773753,0.001713837,82,-0.33
1,1925.75,0.060487589,5580.38,0.058773753,0.001713837,83,-0.33
1,1920.65,0.060500521,5563.09,0.058834255,0.001666266,84,-0.33
1,1908.79,0.060323132,5528.67,0.058652561,0.001670571,85,-0.34
3,1898.24,0.060381693,5508.73,0.058722036,0.001659657,88,-0.35
1,1892.59,0.060604185,5502.7,0.058940305,0.00166388,89,-0.35
1,1879.58,0.060527309,5485.72,0.05892621,0.001601098,90,-0.36
1,1861.29,0.060373048,5449.88,0.058892168,0.00148088,91,-0.36
1,1853.6,0.060176682,5436.42,0.058740929,0.001435753,92,-0.37
3,1869,0.060076175,5471.78,0.058678784,0.001397391,95,-0.38
1,1876.49,0.060227578,5476.2,0.058885094,0.001342484,96,-0.38
1,1870.04,0.060311342,5463.8,0.0589727,0.001338642,97,-0.38
1,1872.02,0.060310867,5468.91,0.0589715,0.001339367,98,-0.39
1,1847.97,0.059890089,5423.47,0.058691352,0.001198737,99,-0.39
3,1836.63,0.059880879,5405.53,0.058731027,0.001149852,102,-0.40
1,1808.98,0.059719808,5350.53,0.058775779,0.000944029,103,-0.41
1,1789.54,0.059582967,5296.54,0.05872078,0.000862187,104,-0.41
1,1797.92,0.059549561,5301.24,0.058721066,0.000828495,105,-0.42
1,1798.22,0.059389111,5307.38,0.058573066,0.000816045,106,-0.42
3,1786.75,0.060153193,5260.64,0.059548635,0.000604558,109,-0.43
1,1798.17,0.060319398,5269.92,0.059719066,0.000600332,110,-0.44
1,1836.83,0.059672694,5378.85,0.05904353,0.000629165,111,-0.44
1,1837.66,0.05967236,5382.66,0.059042699,0.000629661,112,-0.44
